bill     : 6
best     : 6
bent     : 6
bens     : 6
belt     : 6
bels     : 6
bell     : 6
beg      : 6
beet     : 6
bees     : 6
beer     : 6
been     : 6
any      : 6
alps     : 6
alms     : 6
aims     : 6
ahs      : 6
ahi      : 6
agist    : 6
agios    : 6
aft      : 6
aegis    : 6
adios    : 6
adds     : 6
aces     : 6
abos     : 6
abet     : 6
aah      : 6
pst      : 5
opt      : 5
ops      : 5
mot      : 5
mos      : 5
mor      : 5
moo      : 5
lop      : 5
goos     : 5
gist     : 5
girt     : 5
gins     : 5
gilt     : 5
gill     : 5
emu      : 5
ems      : 5
elm      : 5
egos     : 5
egis     : 5
egg      : 5
dost     : 5
doss     : 5
dors     : 5
dorr     : 5
door     : 5
diss     : 5
dirt     : 5
dint     : 5
dins     : 5
dino     : 5
dill     : 5
dent     : 5
dens     : 5
delt     : 5
dels     : 5
dell     : 5
deil     : 5
deet     : 5
dees     : 5
deer     : 5
cru      : 5
cot      : 5
cos      : 5
cor      : 5
coo      : 5
cis      : 5
cel      : 5
cee      : 5
brr      : 5
bot      : 5
bos      : 5
boo      : 5
bit      : 5
bis      : 5
bio      : 5
bin      : 5
bet      : 5
bes      : 5
ben      : 5
bel      : 5
bee      : 5
apt      : 5
amu      : 5
alp      : 5
allot    : 5
aim      : 5
agio     : 5
agin     : 5
ados     : 5
adit     : 5
add      : 5
act      : 5
ace      : 5
abs      : 5
abo      : 5
lost     : 4
loss     : 4
loot     : 4
loos     : 4
inns     : 4
ills     : 4
got      : 4
gos      : 4
gor      : 4
goo      : 4
gnu      : 4
git      : 4
gin      : 4
erst     : 4
errs     : 4
ells     : 4
ego      : 4
eels     : 4
dot      : 4
dos      : 4
dor      : 4
dit      : 4
dis      : 4
din      : 4
den      : 4
del      : 4
dee      : 4
alls     : 4
airt     : 4
airs     : 4
ains     : 4
ails     : 4
ags      : 4
ago      : 4
ads      : 4
ado      : 4
aals     : 4
ort      : 3
ors      : 3
oot      : 3
not      : 3
nos      : 3
nor      : 3
noo      : 3
lot      : 3
loo      : 3
ins      : 3
inn      : 3
ill      : 3
ess      : 3
ers      : 3
err      : 3
ens      : 3
els      : 3
ell      : 3
eel      : 3
att      : 3
ass      : 3
art      : 3
ars      : 3
ant      : 3
alt      : 3
als      : 3
all      : 3
ait      : 3
ais      : 3
air      : 3
ain      : 3
ail      : 3
aas      : 3
aal      : 3
